Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class,Film,Film Order,Role
1996 Nissan Skyline GT-R R33,Nissan Motor Company,Nissan,Skyline GT-R R33,1996,Discontinued,2-door coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor
1997 Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,1997[1],Discontinued,Sports car,"The Fast and the Furious: Tokyo Drift, Fast & Furious 6","FF3, FF6",Major
1997 Nissan 240SX,Nissan Motor Company,Nissan,240SX,1995-1998,Discontinued,Sport compact,The Fast and the Furious,FF1,Minor
1998 Ford Crown Victoria,Ford,Ford,Crown Victoria,Unknown,Discontinued,Sedan,"The Fast and the Furious, 2 Fast 2 Furious","FF1, FF2",Minor
1999 BMW 323is (E36),BMW,E36,323iS,1990-2000,Discontinued,Euro-Exotic,2 Fast 2 Furious,FF2,Minor
1999 Ford F-150 SVT Lightning,Ford Motor Company,Ford,F-150 SVT Lightning,unknown,Discontinued,Pickup truck,The Fast and the Furious,FF1,Minor
1999 Nissan Maxima (A32),Nissan Motor Company,Nissan,Maxima,1994-1999,Discontinued,Mid-size,The Fast and the Furious,FF1,Minor
1999 Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Skyline GT-R R34,1999-2002,Discontinued,Sport compact/Midsize,2 Fast 2 Furious,FF2,Major
1999 Toyota Supra MK IV JDM,Toyota,Toyota,Supra MK IV,1999,Discontinued,Sports Car,Fast Five,FF5,Minor
2 Fast 2 Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
2000 Acura NSX,Honda,Acura,NSX,2000,Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor
2000 Ferrari 360 Spider,Ferrari SPA,Ferrari,360 Spider,2003,Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor
2001 Honda S2000,Honda Motorworks,Honda,S2000,2000[1],Discontinued,"Sports car,Roadster",2 Fast 2 Furious,FF2,Minor
2000 Honda S2000,Honda,Honda,S2000,2000,Discontinued,Sports Car,The Fast and the Furious,FF1,Major
2000 Nissan Silvia S15 Spec-R (Nissan 240 SX),Nissan Motor Company,Nissan,240SX,N/A,Discontinued,"2-door coupe, Sports car",Fast & Furious,FF4,Minor
2001 BMW 540i E39,BMW,BMW,540i E39,2001,In Production,4 Door Sedan,Fast & Furious,FF4,Minor
2001 Nissan Silvia S15 Spec-S,Nissan,Nissan Silvia,Silvia S15 Spec-S,2001,Discontinued,2-door coupeSports car,The Fast and the Furious: Tokyo Drift,FF3,Major
2002 Hummer H1,Hummer,Hummer,H1,unknown,Discontinued,SUV,Fast & Furious,FF4,Minor
2002 Mitsubishi Lancer Evolution VII,Mitsubishi Motors Corporation,Mitsubishi,Lancer Evo VII,2002[1][2],Discontinued,Sports compact,2 Fast 2 Furious,FF2,Major
