,Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class
130,Plymouth Road Runner,Plymouth,Road Runner,1968-1980,Discontinued,Muscle car,2-door coupe
131,Pontiac Bonneville,N/A,N/A,N/A,N/A,N/A,N/A
132,Pontiac Fiero,Pontiac,Pontiac,Fiero,1984,Destroyed,Notchback Coupe
133,Pontiac Trans Am,Pontiac,Pontiac,Trans Am,1967-2002,Pony CarMuscle Car,Tego Leo
134,Porsche 996 GT3 RS,Porsche,996 GT3 RS,3.6L flat-6,Unnamed OwnerBrian O'Conner,Street racingPractice racing for compound entry,Active (assumed returned)
135,Porsche Cayman,Porsche,Cayman S,Gisele Yashar,TravelingRacing,Survived,Fast & Furious
136,Subaru Impreza WRX STi,Subaru,Impreza WRX STi,Brian O'ConnerDominic TorettoHan Seoul-OhLittle Nobody,General drivingBringing Arturo Braga back to the U.SDrift PracticeReversing out of an airplane/Caucasus Mountains mission to rescue RamseyPreventing Cipher's mission in Russia,Damaged (F4)Survived (F5)Damaged (F7)Survived (F8),Fast & FuriousFast FiveFurious 7The Fate of the Furious
137,The Fast and The Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A
138,The Fate of the Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A
139,Tokyo Drift Cars,N/A,N/A,N/A,N/A,N/A,N/A
140,Toyota Corolla,Toyota,Corolla,Takashi (Tokyo Drift) Unknown (F&F),Street RacingDrifting,The Fast and the Furious: Tokyo DriftFast & Furious,N/A
141,Toyota Supra MK IV,Toyota,Toyota,Toyota Supra MK IVTurbo MK IV,Discontinued,Sports car,Brian O'Conner[1][2]Dominic Toretto[1]Slap Jack[3]
142,Tuners,N/A,N/A,N/A,N/A,N/A,N/A
143,Volkswagen Golf R32,N/A,N/A,N/A,N/A,N/A,N/A
