,Year,Car Name,Manufacturer,Make,Model,Status,Car_Class,Film,Film Order,Role,Car Count,Car Sales Count,mean,min,max,Min Sale Date,Max Sale Date
29,1993,Freightliner FLA 86 64 T,Peterbilt,Peterbilt,FLA 86 64,Discontinued,Semi Truck,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
30,1993,Honda Civic EJ1,Honda,Honda,Civic,In Production,2-door coupe,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
31,1993,Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,Discontinued,2-door coupe,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
32,1993,Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,Discontinued,2-door coupe,The Fast and the Furious,FF1,Major,1,0.0,0.0,0.0,0.0,0,0
33,1993,Toyota Supra Turbo MK IV,Toyota,Toyota,Supra Turbo MK IV,Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor,1,17.0,80893.64705882352,40999.0,176000.0,2018-03-21 00:00:00,2022-03-25 00:00:00
34,1994,Acura Integra,Honda,Acura,Integra,Discontinued,Sedan,The Fast and the Furious,FF1,Minor,1,7.0,10693.142857142857,5200.0,20000.0,2021-08-05 00:00:00,2022-05-21 00:00:00
35,1994,Toyota Supra MK IV,Toyota,Toyota,Supra MK IV,Discontinued,Sports Car,The Fast and the Furious,FF1,Major,1,15.0,70116.66666666667,31350.0,140000.0,2016-01-26 00:00:00,2022-05-19 00:00:00
36,1995,Ferrari F355 Spider,Ferrari SPA,Ferrari,F355 Spider,Discontinued,Semi-Retro Exotic,"The Fast and the Furious, 2 Fast 2 Furious","FF1, FF2",Minor,1,0.0,0.0,0.0,0.0,0,0
37,1995,Mitsubishi Eclipse,"Diamond-Star Motors, Mitsubishi Motors Corporation",Mitsubishi,Eclipse,Discontinued,Sports Compact,The Fast and the Furious,FF1,Major,1,2.0,17900.0,1600.0,34200.0,2017-06-28 00:00:00,2022-06-02 00:00:00
38,1995,Nissan Skyline GT-R R33,Nissan Motor Company,Nissan,Skyline GT-R R33,Discontinued,2-door coupe,The Fast and the Furious,FF1,Minor,1,21.0,70930.28571428571,37750.0,235000.0,2021-05-11 00:00:00,2021-08-14 00:00:00
39,1995,Toyota Supra MK IV,Toyota,Toyota,Supra MK IV,Discontinued,Sports car,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
40,1995,Volkswagen Jetta,Volkswagen,VolksWagen,Jetta ,In Production,Sedan,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
41,1996,Nissan Skyline GT-R R33,Nissan Motor Company,Nissan,Skyline GT-R R33,Discontinued,2-door coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,12.0,115570.75,18112.0,315187.0,2017-03-04 00:00:00,2021-06-22 00:00:00
42,1997,Mazda RX-7,Mazda Motor Corporation,Mazda,RX-7 FD,Discontinued,Sports car,"The Fast and the Furious: Tokyo Drift, Fast & Furious 6","FF3, FF6",Major,1,0.0,0.0,0.0,0.0,0,0
43,1997,Nissan 240SX,Nissan Motor Company,Nissan,240SX,Discontinued,Sport compact,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
44,1998,Ford Crown Victoria,Ford,Ford,Crown Victoria,Discontinued,Sedan,"The Fast and the Furious, 2 Fast 2 Furious","FF1, FF2",Minor,1,0.0,0.0,0.0,0.0,0,0
45,1999,BMW 323is (E36),BMW,E36,323iS,Discontinued,Euro-Exotic,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
46,1999,Ford F-150 SVT Lightning,Ford Motor Company,Ford,F-150 SVT Lightning,Discontinued,Pickup truck,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
47,1999,Nissan Maxima (A32),Nissan Motor Company,Nissan,Maxima,Discontinued,Mid-size,The Fast and the Furious,FF1,Minor,1,0.0,0.0,0.0,0.0,0,0
48,1999,Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Skyline GT-R R34,Discontinued,Sport compact/Midsize,2 Fast 2 Furious,FF2,Major,1,0.0,0.0,0.0,0.0,0,0
49,1999,Toyota Supra MK IV JDM,Toyota,Toyota,Supra MK IV,Discontinued,Sports Car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
50,2000,Acura NSX,Honda,Acura,NSX,Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
51,2000,Ferrari 360 Spider,Ferrari SPA,Ferrari,360 Spider,Discontinued,Sports car,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
52,2001,Honda S2000,Honda Motorworks,Honda,S2000,Discontinued,"Sports car,Roadster",2 Fast 2 Furious,FF2,Minor,1,24.0,25527.5,13700.0,45250.0,2016-09-04 00:00:00,2021-08-01 00:00:00
53,2000,Honda S2000,Honda,Honda,S2000,Discontinued,Sports Car,The Fast and the Furious,FF1,Major,1,26.0,25595.384615384617,9375.0,48000.0,2017-05-24 00:00:00,2018-11-06 00:00:00
54,2000,Nissan Silvia S15 Spec-R (Nissan 240 SX),Nissan Motor Company,Nissan,240SX,Discontinued,"2-door coupe, Sports car",Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
55,2001,BMW 540i E39,BMW,BMW,540i E39,In Production,4 Door Sedan,Fast & Furious,FF4,Minor,1,11.0,9723.181818181818,4300.0,21000.0,2020-11-05 00:00:00,2022-05-08 00:00:00
56,2001,Nissan Silvia S15 Spec-S,Nissan,Nissan Silvia,Silvia S15 Spec-S,Discontinued,2-door coupeSports car,The Fast and the Furious: Tokyo Drift,FF3,Major,1,1.0,42009.0,42009.0,42009.0,2021-10-18 00:00:00,2021-10-18 00:00:00
57,2002,Hummer H1,Hummer,Hummer,H1,Discontinued,SUV,Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
58,2002,Mitsubishi Lancer Evolution VII,Mitsubishi Motors Corporation,Mitsubishi,Lancer Evo VII,Discontinued,Sports compact,2 Fast 2 Furious,FF2,Major,1,3.0,18450.0,14300.0,22050.0,2020-06-27 00:00:00,2021-07-30 00:00:00
59,2002,Nissan Fairlady Z (Z33),Nissan,Nissan,350Z,Discontinued,Coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,0.0,0.0,0.0,0.0,0,0
60,2002,Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Skyline R34 GT-R,Discontinued,2-door coupe,Fast & Furious,FF4,Major,1,0.0,0.0,0.0,0.0,0,0
61,2003,Acura NSX,Honda,Acura,NSX,Discontinued,Sports,"Fast & Furious, Fast Five","FF4, FF5",Major,1,0.0,0.0,0.0,0.0,0,0
62,2003,Mitsubishi Eclipse Spyder GTS,Mitsubishi Motors Corporation,Mitsubishi,Eclipse Spyder GTS,Discontinued,Sports compact,2 Fast 2 Furious,FF2,Major,1,2.0,1417.5,415.0,2420.0,2022-06-06 00:00:00,2020-02-02 00:00:00
63,2003,Saleen S281-E Mustang,Ford,Ford,Mustang Saleen S281,Discontinued,Muscle,2 Fast 2 Furious,FF2,Minor,1,0.0,0.0,0.0,0.0,0,0
64,2004,Aston Martin DB9,Aston Martin,Aston Martin,DB9,Discontinued,2+2 seat 2-door coupé2-door convertible,Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
65,2004,Mazda RX-8,Mazda,Mazda,RX-8,Discontinued,Sport,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,0.0,0.0,0.0,0.0,0,0
